"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"Chance- Season 1 ep104","2016","Bayview Police Station, 201 Williams Ave.",,"TVM Productions","HULU","Carl Franklin","Peter Elkoff","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.3979675 37.7297605)","-122.3979675","37.7297605","Bayview Hunters Point","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"A View to a Kill","1985","Golden Gate Bridge","With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.","Metro-Goldwyn Mayer","MGM/UA Entertainment Company","John Glen","Richard Maibaum","Roger Moore","Christopher Walken","Tanya Roberts","POINT (-122.4785598 37.8199109)","-122.4785598","37.8199109",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 1","2014","24th Street between Folsom and Harrison Streets",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.4141668 37.7522639)","-122.4141668","37.7522639","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"When We Rise","2017","Haight St. at Central",,"Film 49 Productions","Amercian Broadcasting Company","Gus Van Sant","Dustin Lance Black","Guy Pierce","Mary-Louise Parker","Michael Kenneth Williams","POINT (-122.43979 37.7709327)","-122.43979","37.7709327","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Junior","1994","United Nations Plaza (Civic Center)","United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.","Northern Lights Entertainment","Universal Pictures","Ivan Reitman","Kevin Wade","Arnold Schwarzenegger","Danny DeVito","Emma Thompson","POINT (-122.4147491 37.7795066)","-122.4147491","37.7795066","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bitter Melon","2018","298 11th St",,"Bitter Melon Film LLC/Mammoth Pictures","ABS-CBN, Gravitas Ventures","H.P. Mendoza","H.P. Mendoza","Jon Norman Schneider","Patrick Epino","Brian Rivera","POINT (-122.4144497 37.7719479)","-122.4144497","37.7719479","Mission","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep109","2016","60 Leavenworth St.",,"TVM Productions","HULU","Sara Gran and Pete Begler","Dan Attias","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4135414 37.7812278)","-122.4135414","37.7812278","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Fort Funston",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.5028052 37.7195436)","-122.5028052","37.7195436","Lakeshore","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance Season 2","2017","Taylor St, north of Jefferson St to end",,"TVM Productions Inc.","Hulu","Rozann Dawson","Alexandra Cunningham","Hugh Laurie","Greta Lee","Ethan Suplee","POINT (-122.4155073 37.8083487)","-122.4155073","37.8083487","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Murder in the First, Season 2","2015","1059 Texas Street",,"Turner North Center Productions","Turner Network Television (TNT)","Steven Bochcho","Eric Lodal","Taye Diggs","Kathleen Robertson","Ian Anthony Dale","POINT (-122.3946888 37.7530052)","-122.3946888","37.7530052","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"About a Boy","2014","Powell from Bush and Sutter",,"NBC Studios","National Broadcasting Company","Mark J. Kunerth","Jason Katims","David Walton","Minnie Driver",,,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nine Months","1995","Jack Kerouac Alley between Columbus & Grant Streets",,"1492 Pictures","Twentieth Century Fox Film Corp.","Chris Columbus","Chris Columbus","Hugh Grant","Julianne Moore","Robin Williams","POINT (-122.4068124 37.7975023)","-122.4068124","37.7975023","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Guess Who's Coming to Dinner","1967","Sutter Street between Powell and Mason",,"Columbia Pictures Corporation","Columbia Pictures","Stanley Kramer","William Rose","Spencer Tracy","Sidney Poitier","Katharine Hepburn","POINT (-122.4085114 37.7890687)","-122.4085114","37.7890687","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Pursuit of Happyness","2006","Golden Gate Park Children's Playground","Golden Gate Park is similar in shape but 20% larger than New York's Central Park.","Columbia Pictures Corporation","Columbia Pictures","Steven Conrad","Gabriele Muccino","Will Smith","Jayden C. Smith",,"POINT (-122.4572935 37.7682469)","-122.4572935","37.7682469","Golden Gate Park","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 202","2015","1400 16th Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4014061 37.7665652)","-122.4014061","37.7665652","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 205","2015","24th Between Portrero & Alabama",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.40645 37.75264)","-122.40645","37.75264","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Goliath- Season 4","2021","Crissy Field Beach",,"Picrow, Inc.","Amazon Studios","Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro","Billy Bob Thornton","Nina Arianda","Tania Raymonde","POINT (-122.4506915 37.8064291)","-122.4506915","37.8064291","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","St Regis Hotel, 125 3rd Street",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.4015083 37.7861347)","-122.4015083","37.7861347","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 203","2015","Mission Rec Center, 2450 Harrison Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4126175 37.758168)","-122.4126175","37.758168","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Thing He Told Me","2023","Oracle Park",,"20th Television","Apple TV+","Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer, Lila Neugebauer","Laura Dave","Jennifer Garner","Angourie Rice","Aisha Tyler","POINT (-122.3892168 37.7784136)","-122.3892168","37.7784136","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"High Crimes","2002","Condor Club (Columbus and Broadway)",,"Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Mel Brooks","Mel Brooks","Mel Brooks","Madeline Kahn",,"POINT (-122.4066608 37.798084)","-122.4066608","37.798084","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Broadway Studios, 435 Broadway",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.404479 37.7979773)","-122.404479","37.7979773","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Woman on the Run","1950","Cable Car Signal Box (California Street at Powell Street)","SF Cable Cars are the only moving National Historical Landmark.","Fidelity Pictures Corporation","Universal Pictures","Norman Foster","Norman Foster","Ann Sheridan","Dennis O'Keefe","Robert Keith","POINT (-122.40934 37.791952)","-122.40934","37.791952","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nine to Five","1980","Albert S. Samuels Clock (856 Market Street between Powell and Stockton)",,"Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Colin Higgins","Colin Higgins","Jane Fonda","Lily Tomlin","Dolly Parton","POINT (-122.4071055 37.7851739)","-122.4071055","37.7851739","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man and the Wasp","2018","Geary St - Hyde St - Ellis St",,"PYM Particles Productions II, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Chris McKenna","Paul Rudd","Evangeline Lilly","Michael Douglas","POINT (-122.4160976 37.7844584)","-122.4160976","37.7844584","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Quicksilver","1986","Pacific Stock Exchange",,"Columbia Pictures Corporation","Columbia Pictures","Thomas Michael Donnelly","Thomas Michael Donnelly","Kevin Bacon","Jami Gertz","Paul Rodriguez","POINT (-122.4012774 37.791795)","-122.4012774","37.791795","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Woman In Red","1984","Postcard Row (Alamo Square, Hayes Valley)","The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.","Orion Pictures Corp.","MGM Home Entertainment","Gene Wilder","Jean Loup Dabadie & Yves Robert","Gene Wilder","Charles Grodin",,"POINT (-122.4327231 37.7760676)","-122.4327231","37.7760676","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 209","2015","Tonga Room, Fairmont Hotel, 950 Mason Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4100923 37.7923883)","-122.4100923","37.7923883","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Boys and Girls","2000","Fisherman's Wharf","Supposedly, Mikhail S. Gorbachev has said that his favorite part of visiting America was touring Fisherman's Wharf.","Punch 21 Productions","Dimension Films","Robert Iscove","The Drews","Freddie Prinze, Jr.","Alyson Hannigan",,"POINT (-122.4125282 37.8085771)","-122.4125282","37.8085771","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Etruscan Smile","2017","Mudpie, 2185 Fillmore Street",,"Po Valley Productions, LLC","TBD","Oded Binnun/ Michel Brezis","Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro","Brian Cox","Roseanne Arquette","Thora Birch","POINT (-122.4342051 37.7895492)","-122.4342051","37.7895492","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Budding Prospects, Pilot","2017","40 Prentiss Street",,"Picrow Streaming Inc.","Amazon","Terry Zwigoff","Melissa Axelrod, T. C. Boyle (based on the book by)","Adam Rose","Will Sasso","Joel David Moore","POINT (-122.4121012 37.7421331)","-122.4121012","37.7421331","Bernal Heights","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Doctor Dolittle","1998","2100 Green Street",,"Twentieth Century Fox Film Cooperation","Twentieth Century Fox Film Cooperation","Betty Thomas","Nat Mauldin","Eddie Murphy","Ossie Davis",,"POINT (-122.4339534 37.7965699)","-122.4339534","37.7965699","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sweet November","2001","Foote, Cone & Belding (733 Front Street at Pacific)","The building is called ""Jabe & Dunne Advertising Agency"" in the movie.","Warner Bros. Pictures","Warner Bros. Pictures","Pat O'Connor","Paul Yurick","Keanu Reeves","Charlize Theron",,"POINT (-122.4000623 37.7980575)","-122.4000623","37.7980575","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Nash Bridges","2021","Barbary Coast, 952 Mission Street",,"Village NB Productions, LLC","USA Nework","Greg Beeman","Carlton Cuse, Bill Chais","Don Johnson","Cheech Marin","Joe Dinicol","POINT (-122.4078108 37.7819282)","-122.4078108","37.7819282","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Enforcer","1976","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Warner Bros. Pictures","Warner Bros. Pictures","James Fargo","Stirling Silliphant","Clint Eastwood","Tyne Daly","Harry Guardino","POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"D.O.A","1950","The Embarcadero/ Ferry Building","Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.","Cardinal Pictures","United Artists","Rudolph Mate","Russell Rouse","Edmond O'Brien","Pamela Britton","Luther Adler","POINT (-122.3936136 37.7954425)","-122.3936136","37.7954425","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Pushing Dead","2016","5th Ave @ Fulton Street in Golden Gate Park",,"Pushing Dead , LLC","TBD","Tom Brown","Tom Brown","Danny Glover","James Roday","Robin Weigert","POINT (-122.482977 37.7689203)","-122.482977","37.7689203","Golden Gate Park","4","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Hereafter","2010","Hobart Building (582 Market Street)",,"GT Films","Warner Bros. Pictures","Clint Eastwood","Peter Morgan","Matt Damon","Cecile De France",,"POINT (-122.4016184 37.789466)","-122.4016184","37.789466","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","Market St. at Embarcadero area",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.3961223 37.7935438)","-122.3961223","37.7935438","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Presidio","1988","Ferry Building","Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.","Paramount Pictures","Paramount Pictures","Peter Hyams","Larry Ferguson","Sean Connery","Mark Harmon","Meg Ryan","POINT (-122.3936136 37.7954425)","-122.3936136","37.7954425","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Super Pumped: The Battle for Uber","2022","Hyde Street at Union Plaza",,"Possible Productions","Showtime","Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter","Joseph Gordon-Levitt","Kyle Chandler","Kerry Bishé","POINT (-122.4190741 37.7992119)","-122.4190741","37.7992119","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Burglar","1987","1400 18th Street",,"Warner Bros. Pictures","Warner Bros. Pictures","Hugh Wilson","Joseph Loeb III","Whoopi Goldberg","Bobcat Goldwait",,"POINT (-122.3968391 37.7627149)","-122.3968391","37.7627149","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Time After Time","1979","Merchant Exchange (465 California Street at Leidesdorff)",,"Orion Pictures Corp.","Columbia Broadcasting System (CBS)","Nicholas Meyer","Karl Alexander","Malcolm McDowell","Mary Steenburgen","David Warner","POINT (-122.4021715 37.792255)","-122.4021715","37.792255","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep106","2016","Montgomery between Pacific and Broadway",,"TVM Productions","HULU","Sara Gran","Dan Attias","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4040634 37.7981354)","-122.4040634","37.7981354","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Ant-Man","2015","California between Kearney and Davis","Driving shots","PYM Particles Productions, LLC","Walt Disney Studios Motion Pictures","Peyton Reed","Gabriel Ferrari","Michael Douglas","Paul Rudd",,"POINT (-122.3977904 37.7934117)","-122.3977904","37.7934117","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance Season 2","2017","California between Mason and Taylor St",,"TVM Productions Inc.","Hulu","Rozann Dawson","Alexandra Cunningham","Hugh Laurie","Greta Lee","Ethan Suplee","POINT (-122.4129823 37.791198)","-122.4129823","37.791198","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Birth of the Dragon","2016","Hyde at Union",,"BOTD U.S. Productions, Inc.","Kylin Pictures","George Nolfi","Christopher Wilkinson, Stephen J. Rivele","Philip Ng","Billy Magnussen","Yu Xia","POINT (-122.4190741 37.7992119)","-122.4190741","37.7992119","Russian Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Godzilla","2014","Bush & Kearny",,"Nautilus Productions, LLC","Warner Bros. Pictures","Gareth Edwards","Max Borenstein","Aaron Taylor-Johnson","Elizabeth Olsen","Bryan Cranston","POINT (-122.4040705 37.7907733)","-122.4040705","37.7907733","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Copycat","1995","Alta Plaza Park","The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.","Regency Enterprises","Warner Bros. Pictures","Jon Amiel","Ann Biderman","Sigourney Weaver","Holly Hunter",,"POINT (-122.4377047 37.791209)","-122.4377047","37.791209","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Milk","2008","Lower Haight Street",,"Focus Features","Focus Features","Gus Van Sant","Dustin Lance Black","Sean Penn","Emile Hirsch",,"POINT (-122.4324936 37.7737605)","-122.4324936","37.7737605","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Experiment in Terror","1962","Roaring Twenties Nightclub (555 Broadway at Columbus)",,"Columbia Pictures Corporation","Columbia Pictures","Blake Edwards","The Gordons","Glenn Ford","Lee Remick","Stefanie Powers","POINT (-122.4058659 37.7976067)","-122.4058659","37.7976067","North Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sudden Impact","1983","Near Point Lobos, El Camino Del Mar",,"Warner Bros. Pictures","Warner Bros. Pictures","Clint Eastwood","Harry Julian Fink","Clint Eastwood","Sondra Locke",,"POINT (-122.5094898 37.779894)","-122.5094898","37.779894","Outer Richmond","1","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","Valencia St. from 16th to 17th",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett",,,,,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Last Thing He Told Me","2023","168 2nd Street, Blue Bottle Coffee",,"20th Television","Apple TV+","Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer, Lila Neugebauer","Laura Dave","Jennifer Garner","Angourie Rice","Aisha Tyler","POINT (-122.3988786 37.7870252)","-122.3988786","37.7870252","Financial District/South Beach","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Americana","2015","Treasure Island",,"Sutro Films LLC",,"Zachary Shedd","Zachary Shedd","Kelli Garner","Jack Davenport","Peter Coyote","POINT (-122.3699786 37.825284)","-122.3699786","37.825284","Treasure Island","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep102","2016","Sutter Stockton Garage, 444 Stockton",,"TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4066034 37.7901055)","-122.4066034","37.7901055","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Other Sister","1999","Palace of Fine Arts (3301 Lyon Street)","The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.","Mandeville Films","Buena Vista Pictures","Garry Marshall","Garry Marshall","Juliette Lewis","Diane Keaton",,"POINT (-122.4491285 37.8026694)","-122.4491285","37.8026694","Marina","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Shit and Champagne","2020","Don Ramon's Restaurant - 225 11th St",,"Shaboom Boom, LLC",,"D'Arcy Drollinger","D'Arcy Drollinger","D'Arcy Drollinger","Matthew Martin","Steven LeMay","POINT (-122.415024 37.772931)","-122.415024","37.772931","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"San Andreas","2015","Bay St. at Polk",,"Upside Down Productions, Inc.","Warner Bros.","Brad Peyton","Allan Loeb","Dwayne Johnson",,,"POINT (-122.4234921 37.8043658)","-122.4234921","37.8043658","Russian Hill","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Foul Play","1978","Fiesta Laundromat (898 S. Van Ness Ave., Mission)",,"Paramount Pictures","Paramount Pictures","Colin Higgins","Colin Higgins","Goldie Hawn","Chevy Chase","Burgess Meredith","POINT (-122.4172704 37.7588719)","-122.4172704","37.7588719","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Point Blank","1967","Alcatraz Island","Alcatraz Island was a military fort before it became a prison.","Metro-Goldwyn Mayer","Metro-Goldwyn Mayer","John Boorman","Alexander Jacobs","Lee Marvin","Angie Dickinson","Keenan Wynn","POINT (-122.4230122 37.8266636)","-122.4230122","37.8266636",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Rock","1996","City Hall","The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.","Hollywood Pictures","Buena Vista Pictures","Michael Bay","David Weisberg","Sean Connery","Nicolas Cage",,"POINT (-122.4192417 37.779275)","-122.4192417","37.779275","Tenderloin","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep102","2016","Duboce St., Duboce Café",,"TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.4316009 37.7691838)","-122.4316009","37.7691838","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Dawn of the Planet of the Apes","2014","California & Powell",,"Fox Louisiana Productions, LLC","Twentieth Century Fox","Matt Reeves","Rick Jaffa","Gary Oldman","Keri Russell","Andy Serkis","POINT (-122.4091939 37.7920536)","-122.4091939","37.7920536","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Woman on the Run","1950","819 Mason Street at Pine",,"Fidelity Pictures Corporation","Universal Pictures","Norman Foster","Norman Foster","Ann Sheridan","Dennis O'Keefe","Robert Keith","POINT (-122.41091 37.791162)","-122.41091","37.791162","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"DEVS","2020","21st St at San Carlos",,"Minim Productions","FX Network","Alex Garland","Alex Garland","Sonoya Mizuno","Nick Offerman","Jin Ha","POINT (-122.4197149 37.7570015)","-122.4197149","37.7570015","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Foul Play","1978","Montgomery & Pine Streets (Financial District)",,"Paramount Pictures","Paramount Pictures","Colin Higgins","Colin Higgins","Goldie Hawn","Chevy Chase","Burgess Meredith","POINT (-122.4026072 37.7919161)","-122.4026072","37.7919161","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Dead Pool","1988","San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)",,"Warner Bros. Pictures","Warner Bros. Pictures","Buddy Van Horn","Harry Julian Fink","Clint Eastwood","Liam Neeson","Patricia Clarkson","POINT (-122.4632309 37.8007597)","-122.4632309","37.8007597","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Towering Inferno","1974","2898 Vallejo Street",,"Irwin Allen Productions","Twentieth Century - Fox","John Guillermin","Stirling Silliphant","Steve McQueen","Paul Newman","William Holden","POINT (-122.4448975 37.7942406)","-122.4448975","37.7942406","Pacific Heights","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Steve Jobs","2015","Davies Symphony Hall (201 Van Ness Ave.)",,"RDF Productions LLC","Universal Pictures","Danny Boyle","Aaron Sorkin","Michael Fassbender","Kate Winslet","Seth Rogen","POINT (-122.420623 37.7776121)","-122.420623","37.7776121","Hayes Valley","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 202","2015","770 Haight Street","This home was also used in MILK, Big Sur and Diary of a Teenage Girl","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.43489 37.771831)","-122.43489","37.771831","Haight Ashbury","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"DEVS","2020","Dolores Park - Dolores at 20th St",,"Minim Productions","FX Network","Alex Garland","Alex Garland","Sonoya Mizuno","Nick Offerman","Jin Ha","POINT (-122.4266135 37.7608223)","-122.4266135","37.7608223","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"High Crimes","2002","Bank of America Building (555 California Street)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.","Twentieth Century Fox Film Corporation","Twentieth Century Fox Film Corporation","Mel Brooks","Mel Brooks","Mel Brooks","Madeline Kahn",,"POINT (-122.4037515 37.7924396)","-122.4037515","37.7924396","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8","2015","Palace of Fine Arts: 3306 Lyon St.","Filming of ""Dyke's on Bikes"" and ""Dyke March""","Unpronounceable Productions, LLC","Netflix","The Wachowskis","The Wachowskis","Jamie Clayton",,,"POINT (-122.4478247 37.8015802)","-122.4478247","37.8015802","Presidio","2","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Copycat","1995","Twin Peaks","The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".","Regency Enterprises","Warner Bros. Pictures","Jon Amiel","Ann Biderman","Sigourney Weaver","Holly Hunter",,"POINT (-122.4476845 37.7544066)","-122.4476845","37.7544066","Twin Peaks","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"D.O.A","1950","Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle)","The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite.","Cardinal Pictures","United Artists","Rudolph Mate","Russell Rouse","Edmond O'Brien","Pamela Britton","Luther Adler","POINT (-122.4103924 37.7915528)","-122.4103924","37.7915528","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Venom: Let There Be Carnage","2021","6th Street and Jessie Street",,"SM Film Productions","Sony Pictures","Andy Serkis","Kelly Marcel","Tom Hardy","Michelle Wiliams","Woody Harrelson","POINT (-122.4092678 37.7814095)","-122.4092678","37.7814095","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
