"Title","Release Year","Locations","Fun Facts","Production Company","Distributor","Director","Writer","Actor 1","Actor 2","Actor 3","Point","Longitude","Latitude","Analysis Neighborhood","Supervisor District","data_as_of","data_loaded_at"
"A View to a Kill","1985","Port of San Francisco",,"Metro-Goldwyn Mayer","MGM/UA Entertainment Company","John Glen","Richard Maibaum","Roger Moore","Christopher Walken","Tanya Roberts","POINT (-122.3921851 37.7947758)","-122.3921851","37.7947758",,,"2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Bullitt","1968","John Muir Drive (Lake Merced)",,"Warner Brothers / Seven Arts Seven Arts","Warner Brothers","Peter Yates","Alan R. Trustman","Steve McQueen","Jacqueline Bisset","Robert Vaughn","POINT (-122.4919111 37.7211702)","-122.4919111","37.7211702","Lakeshore","7","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Dirty Harry","1971","Bank of America Building (555 California Street)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.","The Malpaso Company","Warner Brothers","Don Siegel","Harry Julian Fink","Clint Eastwood","Harry Guardino",,"POINT (-122.4037515 37.7924396)","-122.4037515","37.7924396","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Terminator - Genisys","2015","Howard St. from Embarcadero to 11 St.",,"T5 Productions LLC","Paramount Pictures","Alan Taylor","James Cameron","Arnold Schwarzenegger","Jason Clarke",,"POINT (-122.40069 37.7843234)","-122.40069","37.7843234","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Time After Time","1979","Justin Herman Plaza",,"Orion Pictures Corp.","Columbia Broadcasting System (CBS)","Nicholas Meyer","Karl Alexander","Malcolm McDowell","Mary Steenburgen","David Warner","POINT (-122.3952007 37.7951195)","-122.3952007","37.7951195","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Towering Inferno","1974","Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.","Irwin Allen Productions","Twentieth Century - Fox","John Guillermin","Stirling Silliphant","Steve McQueen","Paul Newman","William Holden","POINT (-122.4100923 37.7923883)","-122.4100923","37.7923883","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Fearless","1993","400 Montgomery Street",,"Spring Creek Productions","Warner Bros. Pictures","Peter Weir","Rafael Yglesias","Jeff Bridges","Isabella Rosellini","Rosie Perez","POINT (-122.402597 37.7931137)","-122.402597","37.7931137","Financial District/South Beach","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"The Phone/Jexi","2019","1423 Golden Gate Ave",,"CBS Films Inc.","Lionsgate","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Adam Devine","Alexandra Shipp","Michael Pena","POINT (-122.4341795 37.7791726)","-122.4341795","37.7791726","Western Addition","5","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Pacific Heights","1990","Texas & 19th Streets (Potrero Hill)",,"Morgan Creek Productions","Twentieth Century Fox Film Corporation","John Schlesinger","Daniel Pyne","Melanie Griffith","Matthew Modine",,"POINT (-122.3954651 37.7613763)","-122.3954651","37.7613763","Potrero Hill","10","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Sense8","2015","Z Space Studios; 450 Florida St.","Filming of the ""Fresh Meat"" Festival","Unpronounceable Productions, LLC","Netflix","The Wachowskis","The Wachowskis","Jamie Clayton",,,"POINT (-122.411551 37.7637026)","-122.411551","37.7637026","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Steve Jobs","2015","Intersection of Columbus and Kearny",,"RDF Productions LLC","Universal Pictures","Danny Boyle","Aaron Sorkin","Michael Fassbender","Kate Winslet","Seth Rogen","POINT (-122.40488 37.7963942)","-122.40488","37.7963942","Chinatown","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 209","2015","8 Octavia Street",,"Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4232829 37.7722677)","-122.4232829","37.7722677","Hayes Valley","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"A View to a Kill","1985","Burger Island (901 3rd Street, China Basin)",,"Metro-Goldwyn Mayer","MGM/UA Entertainment Company","John Glen","Richard Maibaum","Roger Moore","Christopher Walken","Tanya Roberts","POINT (-122.3909413 37.7773998)","-122.3909413","37.7773998","Mission Bay","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking","2014","St. Francis Fountain",,"Mission Street Productions, LLC","Home Box Office (HBO)","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie J. Alvarez","Murray Bartlett","POINT (-122.4083444 37.7527111)","-122.4083444","37.7527111","Mission","9","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Chance- Season 1 ep102","2016","Heron and Berwick Alleys",,"TVM Productions","HULU","Lenny Abrahamson","Alexandra Cunningham","Hugh Laurie","Gretchen Mol","Ethan Suplee","POINT (-122.408452 37.7746062)","-122.408452","37.7746062","South of Market","6","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Memoirs of an Invisible Man","1992","St. Elizabeth Apartment House (901 Powell Street at Sacramento)",,"Warner Bros. Pictures","Warner Bros. Pictures","John Carpenter","Robert Collector","Chevy Chase","Daryl Hannah","Sam Neill","POINT (-122.4096668 37.7930759)","-122.4096668","37.7930759","Nob Hill","3","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
"Looking Season 2 ep 204","2015","Dolores Park, San Francisco","Russell Tovey originally auditioned for the role of Patrick, but was unsuccessful. After the show got picked up, the character of Kevin was written with him in mind.","Mission Street Productions, LLC","HBO","Andrew Haigh","Michael Lannan","Jonathan Groff","Frankie Alvarez","Murray Bartlett","POINT (-122.4266135 37.7608223)","-122.4266135","37.7608223","Castro/Upper Market","8","2024/12/06 12:17:47 PM","2024/12/18 02:30:38 PM"
