id,lat,lon,name,type,operator,route_ref,network,wheelchair,shelter,bench,bus,tram,subway,light_rail
node/6603407672,37.6456472,-122.4275482,El Camino Real & Country Club Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603407673,37.6461128,-122.4274436,El Camino Real & Country Club Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603407674,37.6420584,-122.4247585,El Camino Real & Brentwood Drive,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603407675,37.6420117,-122.4248587,El Camino Real & Brentwood Drive,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603407676,37.6431319,-122.4253515,El Camino Real & Spruce Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603407677,37.6431815,-122.425251,El Camino Real & Spruce Avenue,bus_stop,San Mateo County Transit District,,SamTrans,,,,yes,,,
node/6603438343,37.7024852,-122.4630246,El Camino Real & Alp Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438344,37.701789,-122.4633747,El Camino Real & Parkview Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438345,37.7024706,-122.4629387,El Camino Real & Alp Avenue,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438346,37.7018056,-122.4634698,El Camino Real & Parkview Avenue,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438347,37.6997537,-122.4637689,El Camino Real & Eastlake Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438348,37.6995956,-122.4639668,El Camino Real & Westlake Avenue,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438349,37.6996125,-122.4640726,El Camino Real & Westlake Avenue,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438350,37.6997409,-122.463693,El Camino Real & Eastlake Avenue,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438351,37.6963275,-122.4644958,El Camino Real & Bismark Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438352,37.6963198,-122.4644145,El Camino Real & Bismark Street,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438353,37.6958972,-122.4647172,El Camino Real & Bismark Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
node/6603438354,37.6959049,-122.4648021,El Camino Real & Bismark Street,bus_stop,SamTrans,,SamTrans,,,,yes,,,
node/6603438355,37.6935131,-122.4650814,El Camino Real & School Street,public_transport:stop_position,SamTrans,,SamTrans,,,,yes,,,
